day,language,gps,wo_gps
2017-01-07,msa,31,32
2017-01-07,nb,12,12
2017-01-07,nl,3982,4152
2017-01-07,no,71,74
2017-01-07,pl,297,305
2017-01-07,pt,702,715
2017-01-07,ro,18,18
2017-01-07,ru,1336,1376
2017-01-07,sk,3,4
2017-01-07,sr,7,8
2017-01-07,sv,777,817
2017-01-07,th,68,68
2017-01-07,tr,2710,2802
2017-01-07,uk,25,25
2017-01-07,ur,20,20
2017-01-07,vi,2,2
2017-01-07,xx-lc,7,7
2017-01-07,zh-CN,3,4
2017-01-07,zh-Hans,1,1
2017-01-07,zh-TW,3,4
2017-01-07,zh-cn,41,41
2017-01-07,zh-tw,7,7
2017-01-08,ar,410108,411989
2017-01-08,bg,3,3
2017-01-08,bn,1,1
2017-01-08,ca,362,362
2017-01-08,cs,128,128
2017-01-08,cy,1,1
2017-01-08,da,235,237
2017-01-08,de,5832,5847
2017-01-08,el,184,184
2017-01-08,en,373523,375021
2017-01-08,en-AU,48,48
2017-01-08,en-GB,1750,1754
2017-01-08,en-IN,7,7
2017-01-08,en-US,1,1
2017-01-08,en-gb,11301,11346
2017-01-08,es,22636,22665
2017-01-08,es-MX,2,2
2017-01-08,eu,66,66
2017-01-08,fa,169,169
2017-01-08,fi,134,134
2017-01-08,fil,1,1
2017-01-08,fr,28084,28166
2017-01-08,fr-CA,2,2
2017-01-08,ga,1,1
2017-01-08,gl,27,27
2017-01-08,gu,1,1
2017-01-08,he,360,360
2017-01-08,hi,60,60
2017-01-08,hr,11,11
2017-01-08,hu,67,67
2017-01-08,id,19472,19562
2017-01-08,in,33,33
2017-01-08,it,1907,1915
2017-01-08,ja,699,699
2017-01-08,kn,2,2
2017-01-08,ko,46,47
2017-01-08,lt,3,3
2017-01-08,lv,10,10
2017-01-08,ms,3,3
2017-01-08,msa,90,90
2017-01-08,nb,23,23
2017-01-08,nl,5740,5750
2017-01-08,no,110,110
2017-01-08,pl,316,317
2017-01-08,pt,1029,1033
2017-01-08,ro,21,21
2017-01-08,ru,2774,2776
2017-01-08,sk,2,2
2017-01-08,sl,1,1
2017-01-08,sr,14,15
2017-01-08,sv,1134,1138
2017-01-08,th,114,115
2017-01-08,tr,4985,4991
2017-01-08,uk,24,24
2017-01-08,ur,3,3
2017-01-08,vi,9,9
2017-01-08,xx-lc,16,16
2017-01-08,zh-CN,14,14
2017-01-08,zh-TW,3,3
2017-01-08,zh-cn,59,59
2017-01-08,zh-tw,14,14
2017-01-09,ar,427593,427593
2017-01-09,bg,7,7
2017-01-09,bn,1,1
2017-01-09,ca,417,417
2017-01-09,cs,104,104
2017-01-09,da,185,185
2017-01-09,de,4544,4544
2017-01-09,el,243,243
2017-01-09,en,334086,334086
2017-01-09,en-AU,39,39
2017-01-09,en-GB,1325,1325
2017-01-09,en-IN,8,8
2017-01-09,en-US,1,1
2017-01-09,en-gb,10103,10103
2017-01-09,es,23624,23624
2017-01-09,es-MX,3,3
2017-01-09,eu,38,38
2017-01-09,fa,129,129
2017-01-09,fi,101,101
2017-01-09,fr,26674,26674
2017-01-09,gl,21,21
2017-01-09,gu,9,9
2017-01-09,he,267,267
2017-01-09,hi,57,57
2017-01-09,hr,31,31
2017-01-09,hu,76,76
2017-01-09,id,22252,22252
2017-01-09,in,21,21
2017-01-09,it,1869,1869
2017-01-09,ja,653,653
2017-01-09,kn,2,2
2017-01-09,ko,87,87
2017-01-09,lt,1,1
2017-01-09,lv,16,16
2017-01-09,ms,2,2
2017-01-09,msa,56,56
2017-01-09,nb,19,19
2017-01-09,nl,4185,4185
2017-01-09,no,84,84
2017-01-09,pl,182,182
2017-01-09,pt,1257,1257
2017-01-09,pt-PT,3,3
2017-01-09,ro,36,36
2017-01-09,ru,4354,4354
2017-01-09,sr,10,10
2017-01-09,sv,906,906
2017-01-09,th,109,109
2017-01-09,tr,5018,5018
2017-01-09,uk,22,22
2017-01-09,ur,7,7
2017-01-09,vi,3,3
2017-01-09,xx-lc,8,8
2017-01-09,zh-CN,7,7
2017-01-09,zh-TW,6,6
2017-01-09,zh-cn,50,50
2017-01-09,zh-tw,12,12
2017-01-10,ar,507504,507504
2017-01-10,bg,6,6
2017-01-10,bn,4,4
2017-01-10,ca,948,948
2017-01-10,cs,115,115
2017-01-10,cy,3,3
2017-01-10,da,186,186
2017-01-10,de,5737,5737
2017-01-10,el,233,233
2017-01-10,en,431264,431264
2017-01-10,en-AU,48,48
2017-01-10,en-GB,1848,1848
2017-01-10,en-IN,7,7
2017-01-10,en-US,2,2
2017-01-10,en-gb,13184,13184
2017-01-10,es,31748,31748
2017-01-10,es-MX,2,2
2017-01-10,eu,88,88
2017-01-10,fa,153,153
2017-01-10,fi,123,123
2017-01-10,fil,2,2
2017-01-10,fr,33497,33497
2017-01-10,ga,4,4
2017-01-10,gl,62,62
2017-01-10,he,283,283
2017-01-10,hi,44,44
2017-01-10,hr,42,42
2017-01-10,hu,84,84
2017-01-10,id,24943,24943
2017-01-10,in,5,5
2017-01-10,it,2049,2049
2017-01-10,ja,834,834
2017-01-10,ko,110,110
2017-01-10,lv,8,8
2017-01-10,ml,1,1
2017-01-10,ms,3,3
2017-01-10,msa,65,65
2017-01-10,nb,21,21
2017-01-10,nl,4532,4532
2017-01-10,no,146,146
2017-01-10,pl,247,247
2017-01-10,pt,2127,2127
2017-01-10,pt-PT,1,1
2017-01-10,ro,44,44
2017-01-10,ru,4979,4979
2017-01-10,sk,4,4
2017-01-10,sl,4,4
2017-01-10,sr,23,23
2017-01-10,sv,990,990
2017-01-10,ta,1,1
2017-01-10,th,143,143
2017-01-10,tr,4144,4144
2017-01-10,uk,28,28
2017-01-10,ur,3,3
2017-01-10,vi,14,14
2017-01-10,xx-lc,33,33
2017-01-10,zh-CN,20,20
2017-01-10,zh-HK,1,1
2017-01-10,zh-Hans,3,3
2017-01-10,zh-TW,1,1
2017-01-10,zh-cn,111,111
2017-01-10,zh-tw,18,18
2017-01-11,ar,469817,469817
2017-01-11,bg,5,5
2017-01-11,bn,3,3
2017-01-11,ca,954,954
2017-01-11,cs,81,81
2017-01-11,cy,5,5
2017-01-11,da,196,196
2017-01-11,de,5275,5275
2017-01-11,el,125,125
2017-01-11,en,442571,442571
2017-01-11,en-AU,47,47
2017-01-11,en-GB,1717,1717
2017-01-11,en-IN,4,4
2017-01-11,en-US,2,2
2017-01-11,en-gb,11652,11652
2017-01-11,es,29926,29926
2017-01-11,es-MX,7,7
2017-01-11,eu,35,35
2017-01-11,fa,138,138
2017-01-11,fi,135,135
2017-01-11,fil,4,4
2017-01-11,fr,34835,34835
2017-01-11,fr-CA,2,2
2017-01-11,ga,2,2
2017-01-11,gl,39,39
2017-01-11,gu,1,1
2017-01-11,he,195,195
2017-01-11,hi,32,32
2017-01-11,hr,20,20
2017-01-11,hu,84,84
2017-01-11,id,22835,22835
2017-01-11,in,9,9
2017-01-11,it,1684,1684
2017-01-11,ja,741,741
2017-01-11,kn,1,1
2017-01-11,ko,71,71
2017-01-11,lt,1,1
2017-01-11,lv,5,5
2017-01-11,mr,1,1
2017-01-11,ms,3,3
2017-01-11,msa,47,47
2017-01-11,nb,18,18
2017-01-11,nl,4079,4079
2017-01-11,no,119,119
2017-01-11,pl,199,199
2017-01-11,pt,1810,1810
2017-01-11,ro,33,33
2017-01-11,ru,2154,2154
2017-01-11,sr,17,17
2017-01-11,sv,755,755
2017-01-11,th,140,140
2017-01-11,tr,5416,5416
2017-01-11,uk,16,16
2017-01-11,ur,17,17
2017-01-11,vi,15,15
2017-01-11,xx-lc,24,24
2017-01-11,zh-CN,9,9
2017-01-11,zh-Hans,1,1
2017-01-11,zh-Hant,1,1
2017-01-11,zh-TW,8,8
2017-01-11,zh-cn,81,81
2017-01-11,zh-tw,44,44
2017-01-12,ar,437082,437082
2017-01-12,bg,6,6
2017-01-12,bn,3,3
2017-01-12,ca,973,973
2017-01-12,cs,132,132
2017-01-12,cy,3,3
2017-01-12,da,198,198
2017-01-12,de,5045,5045
2017-01-12,el,117,117
2017-01-12,en,388412,388412
2017-01-12,en-AU,45,45
2017-01-12,en-GB,1663,1663
2017-01-12,en-IN,4,4
2017-01-12,en-gb,11144,11144
2017-01-12,es,30996,30996
2017-01-12,es-MX,2,2
2017-01-12,eu,44,44
2017-01-12,fa,160,160
2017-01-12,fi,113,113
2017-01-12,fr,31899,31899
2017-01-12,fr-CA,2,2
2017-01-12,ga,2,2
2017-01-12,gl,61,61
2017-01-12,gu,5,5
2017-01-12,he,197,197
2017-01-12,hi,38,38
2017-01-12,hr,22,22
2017-01-12,hu,64,64
2017-01-12,id,40589,40589
2017-01-12,in,30,30
2017-01-12,it,1493,1493
2017-01-12,ja,718,718
2017-01-12,kn,3,3
2017-01-12,ko,98,98
2017-01-12,lv,2,2
2017-01-12,ms,7,7
2017-01-12,msa,65,65
2017-01-12,nb,19,19
2017-01-12,nl,5269,5269
2017-01-12,no,68,68
2017-01-12,pl,405,405
2017-01-12,pt,1648,1648
2017-01-12,ro,22,22
2017-01-12,ru,1092,1092
2017-01-12,sk,1,1
2017-01-12,sr,19,19
2017-01-12,sv,777,777
2017-01-12,th,93,93
2017-01-12,tr,3317,3317
2017-01-12,uk,8,8
2017-01-12,ur,6,6
2017-01-12,vi,12,12
2017-01-12,xx-lc,8,8
2017-01-12,zh-CN,25,25
2017-01-12,zh-HK,1,1
2017-01-12,zh-TW,12,12
2017-01-12,zh-cn,61,61
2017-01-12,zh-tw,23,23
2017-01-13,ar,431594,431594
2017-01-13,bg,1,1
2017-01-13,ca,933,933
2017-01-13,cs,93,93
2017-01-13,cy,1,1
2017-01-13,da,234,234
2017-01-13,de,4147,4147
2017-01-13,el,119,119
2017-01-13,en,388516,388516
2017-01-13,en-AU,52,52
2017-01-13,en-GB,1587,1587
2017-01-13,en-IN,14,14
2017-01-13,en-US,4,4
2017-01-13,en-gb,10944,10944
2017-01-13,es,37398,37398
2017-01-13,es-MX,1,1
2017-01-13,eu,51,51
2017-01-13,fa,202,202
2017-01-13,fi,145,145
2017-01-13,fil,3,3
2017-01-13,fr,29378,29378
2017-01-13,fr-CA,2,2
2017-01-13,ga,1,1
2017-01-13,gl,71,71
2017-01-13,he,181,181
2017-01-13,hi,37,37
2017-01-13,hr,39,39
2017-01-13,hu,80,80
2017-01-13,id,31849,31849
2017-01-13,in,2,2
2017-01-13,it,1559,1559
2017-01-13,ja,717,717
2017-01-13,kn,1,1
2017-01-13,ko,117,117
2017-01-13,lt,1,1
2017-01-13,lv,5,5
2017-01-13,ms,5,5
2017-01-13,msa,84,84
2017-01-13,nb,21,21
2017-01-13,nl,4211,4211
2017-01-13,no,98,98
2017-01-13,pl,363,363
2017-01-13,pt,2369,2369
2017-01-13,ro,25,25
2017-01-13,ru,1299,1299
2017-01-13,sk,5,5
2017-01-13,sl,1,1
2017-01-13,sr,13,13
2017-01-13,sv,649,649
2017-01-13,th,108,108
2017-01-13,tr,4079,4079
2017-01-13,uk,16,16
2017-01-13,ur,12,12
2017-01-13,vi,7,7
2017-01-13,xx-lc,14,14
2017-01-13,zh-CN,15,15
2017-01-13,zh-TW,6,6
2017-01-13,zh-cn,56,56
2017-01-13,zh-tw,29,29
2017-01-14,ar,379597,379597
2017-01-14,bg,9,9
2017-01-14,ca,1185,1185
2017-01-14,cs,130,130
2017-01-14,cy,1,1
2017-01-14,da,193,193
2017-01-14,de,4070,4070
2017-01-14,el,144,144
2017-01-14,en,367460,367460
2017-01-14,en-AU,49,49
2017-01-14,en-GB,1573,1573
2017-01-14,en-IN,6,6
2017-01-14,en-gb,9989,9989
2017-01-14,es,35769,35769
2017-01-14,es-MX,10,10
2017-01-14,eu,50,50
2017-01-14,fa,151,151
2017-01-14,fi,133,133
2017-01-14,fil,2,2
2017-01-14,fr,26138,26138
2017-01-14,fr-CA,2,2
2017-01-14,ga,1,1
2017-01-14,gl,66,66
2017-01-14,gu,2,2
2017-01-14,he,170,170
2017-01-14,hi,67,67
2017-01-14,hr,21,21
2017-01-14,hu,76,76
2017-01-14,id,19091,19091
2017-01-14,in,7,7
2017-01-14,it,1714,1714
2017-01-14,ja,697,697
2017-01-14,ko,92,92
2017-01-14,lv,2,2
2017-01-14,ms,9,9
2017-01-14,msa,54,54
2017-01-14,nb,20,20
2017-01-14,nl,4362,4362
2017-01-14,no,106,106
2017-01-14,pl,286,286
2017-01-14,pt,1791,1791
2017-01-14,pt-PT,4,4
2017-01-14,ro,18,18
2017-01-14,ru,1597,1597
2017-01-14,sk,3,3
2017-01-14,sr,24,24
2017-01-14,sv,907,907
2017-01-14,ta,2,2
2017-01-14,th,107,107
2017-01-14,tr,4371,4371
2017-01-14,uk,9,9
2017-01-14,ur,3,3
2017-01-14,vi,13,13
2017-01-14,xx-lc,15,15
2017-01-14,zh-CN,14,14
2017-01-14,zh-TW,3,3
2017-01-14,zh-cn,79,79
2017-01-14,zh-tw,21,21
2017-01-15,ar,417559,417559
2017-01-15,bg,8,8
2017-01-15,bn,1,1
2017-01-15,ca,929,929
2017-01-15,cs,137,137
2017-01-15,cy,1,1
2017-01-15,da,226,226
2017-01-15,de,4782,4782
2017-01-15,el,109,109
2017-01-15,en,378352,378352
2017-01-15,en-AU,40,40
2017-01-15,en-GB,1643,1643
2017-01-15,en-IN,2,2
2017-01-15,en-gb,11016,11016
2017-01-15,es,45895,45895
2017-01-15,es-MX,6,6
2017-01-15,eu,63,63
2017-01-15,fa,137,137
2017-01-15,fi,158,158
2017-01-15,fil,7,7
2017-01-15,fr,32934,32934
2017-01-15,fr-CA,2,2
2017-01-15,ga,3,3
2017-01-15,gl,63,63
2017-01-15,he,198,198
2017-01-15,hi,81,81
2017-01-15,hr,21,21
2017-01-15,hu,82,82
2017-01-15,id,28855,28855
2017-01-15,in,8,8
2017-01-15,it,1583,1583
2017-01-15,ja,713,713
2017-01-15,kn,2,2
2017-01-15,ko,106,106
2017-01-15,lt,1,1
2017-01-15,lv,3,3
2017-01-15,ms,9,9
2017-01-15,msa,52,52
2017-01-15,nb,19,19
2017-01-15,nl,4388,4388
2017-01-15,no,90,90
2017-01-15,pl,272,272
2017-01-15,pt,1356,1356
2017-01-15,pt-PT,3,3
2017-01-15,ro,38,38
2017-01-15,ru,1506,1506
2017-01-15,sk,1,1
2017-01-15,sr,20,20
2017-01-15,sv,756,756
2017-01-15,ta,3,3
2017-01-15,th,102,102
2017-01-15,tr,4000,4000
2017-01-15,uk,38,38
2017-01-15,ur,1,1
2017-01-15,vi,12,12
2017-01-15,xx-lc,27,27
2017-01-15,zh-CN,17,17
2017-01-15,zh-TW,11,11
2017-01-15,zh-cn,71,71
2017-01-15,zh-tw,22,22
2017-01-16,ar,393995,393995
2017-01-16,bg,5,5
2017-01-16,bn,1,1
2017-01-16,ca,583,583
2017-01-16,cs,120,120
2017-01-16,cy,1,1
2017-01-16,da,237,237
2017-01-16,de,4311,4311
2017-01-16,el,136,136
2017-01-16,en,383329,383329
2017-01-16,en-AU,47,47
2017-01-16,en-GB,1471,1471
2017-01-16,en-IN,13,13
2017-01-16,en-gb,10541,10541
2017-01-16,es,37265,37265
2017-01-16,es-MX,5,5
2017-01-16,eu,35,35
2017-01-16,fa,126,126
2017-01-16,fi,177,177
2017-01-16,fil,3,3
2017-01-16,fr,28369,28369
2017-01-16,ga,1,1
2017-01-16,gl,37,37
2017-01-16,he,155,155
2017-01-16,hi,82,82
2017-01-16,hr,25,25
2017-01-16,hu,84,84
2017-01-16,id,44691,44691
2017-01-16,in,20,20
2017-01-16,it,1638,1638
2017-01-16,ja,738,738
2017-01-16,kn,2,2
2017-01-16,ko,94,94
2017-01-16,lv,6,6
2017-01-16,ms,4,4
2017-01-16,msa,88,88
2017-01-16,nb,17,17
2017-01-16,nl,4008,4008
2017-01-16,no,93,93
2017-01-16,pl,203,203
2017-01-16,pt,1946,1946
2017-01-16,ro,21,21
2017-01-16,ru,1786,1786
2017-01-16,sk,1,1
2017-01-16,sr,11,11
2017-01-16,sv,726,726
2017-01-16,ta,2,2
2017-01-16,th,106,106
2017-01-16,tr,3811,3811
2017-01-16,uk,29,29
2017-01-16,ur,3,3
2017-01-16,vi,7,7
2017-01-16,xx-lc,26,26
2017-01-16,zh-CN,13,13
2017-01-16,zh-Hans,1,1
2017-01-16,zh-TW,3,3
2017-01-16,zh-cn,41,41
2017-01-16,zh-tw,22,22
2017-01-17,ar,498645,498645
2017-01-17,bg,5,5
2017-01-17,bn,1,1
2017-01-17,ca,619,619
2017-01-17,cs,186,186
2017-01-17,cy,1,1
2017-01-17,da,225,225
2017-01-17,de,4383,4383
2017-01-17,el,172,172
2017-01-17,en,431203,431203
2017-01-17,en-AU,97,97
2017-01-17,en-GB,1888,1888
2017-01-17,en-IN,7,7
2017-01-17,en-US,2,2
2017-01-17,en-gb,12586,12586
2017-01-17,es,32645,32645
2017-01-17,es-MX,8,8
2017-01-17,eu,50,50
2017-01-17,fa,273,273
2017-01-17,fi,189,189
2017-01-17,fil,13,13
2017-01-17,fr,30204,30204
2017-01-17,ga,5,5
2017-01-17,gl,34,34
2017-01-17,gu,13,13
2017-01-17,he,202,202
2017-01-17,hi,66,66
2017-01-17,hr,25,25
2017-01-17,hu,105,105
2017-01-17,id,22948,22948
2017-01-17,in,4,4
2017-01-17,it,1740,1740
2017-01-17,ja,918,918
2017-01-17,ko,108,108
2017-01-17,lv,10,10
2017-01-17,ms,10,10
2017-01-17,msa,101,101
2017-01-17,nb,21,21
2017-01-17,nl,4571,4571
2017-01-17,nl-BE,1,1
2017-01-17,no,108,108
2017-01-17,pl,489,489
2017-01-17,pt,3871,3871
2017-01-17,pt-PT,2,2
2017-01-17,ro,50,50
2017-01-17,ru,1415,1415
2017-01-17,sk,8,8
2017-01-17,sl,1,1
2017-01-17,sr,9,9
2017-01-17,sv,689,689
2017-01-17,ta,5,5
2017-01-17,th,145,145
2017-01-17,tr,4248,4248
2017-01-17,uk,28,28
2017-01-17,ur,6,6
2017-01-17,vi,16,16
2017-01-17,xx-lc,18,18
2017-01-17,zh-CN,33,33
2017-01-17,zh-HK,1,1
2017-01-17,zh-Hans,2,2
2017-01-17,zh-Hant,1,1
2017-01-17,zh-TW,8,8
2017-01-17,zh-cn,89,89
2017-01-17,zh-tw,22,22
2017-01-18,af,1,1
2017-01-18,ar,399906,399906
2017-01-18,bg,7,7
2017-01-18,bn,1,1
2017-01-18,ca,689,689
2017-01-18,cs,212,212
2017-01-18,cy,4,4
2017-01-18,da,197,197
2017-01-18,de,4003,4003
2017-01-18,el,136,136
2017-01-18,en,352713,352713
2017-01-18,en-AU,58,58
2017-01-18,en-GB,1541,1541
2017-01-18,en-IN,6,6
2017-01-18,en-SS,1,1
2017-01-18,en-US,1,1
2017-01-18,en-gb,10375,10375
2017-01-18,es,27573,27573
2017-01-18,es-MX,9,9
2017-01-18,eu,47,47
2017-01-18,fa,156,156
2017-01-18,fi,118,118
2017-01-18,fil,15,15
2017-01-18,fr,25123,25123
2017-01-18,fr-CA,1,1
2017-01-18,ga,2,2
2017-01-18,gl,42,42
2017-01-18,he,194,194
2017-01-18,hi,63,63
2017-01-18,hr,19,19
2017-01-18,ht,1,1
2017-01-18,hu,134,134
2017-01-18,id,23009,23009
2017-01-18,in,11,11
2017-01-18,it,1633,1633
2017-01-18,ja,743,743
2017-01-18,ko,75,75
2017-01-18,lv,5,5
2017-01-18,ms,6,6
2017-01-18,msa,75,75
2017-01-18,nb,21,21
2017-01-18,nl,4455,4455
2017-01-18,no,88,88
2017-01-18,pl,487,487
2017-01-18,pt,2425,2425
2017-01-18,pt-PT,4,4
2017-01-18,ro,77,77
2017-01-18,ru,1411,1411
2017-01-18,sk,8,8
2017-01-18,sr,23,23
2017-01-18,sv,654,654
2017-01-18,ta,4,4
2017-01-18,th,141,141
2017-01-18,tr,4955,4955
2017-01-18,uk,13,13
2017-01-18,ur,27,27
2017-01-18,vi,12,12
2017-01-18,xx-lc,16,16
2017-01-18,zh-CN,13,13
2017-01-18,zh-Hans,2,2
2017-01-18,zh-TW,3,3
2017-01-18,zh-cn,64,64
2017-01-18,zh-tw,23,23
2017-01-19,af,1,1
2017-01-19,ar,474904,474904
2017-01-19,bg,6,6
2017-01-19,ca,656,656
2017-01-19,cs,175,175
2017-01-19,cy,4,4
2017-01-19,da,188,188
2017-01-19,de,4407,4407
2017-01-19,el,129,129
2017-01-19,en,394632,394632
2017-01-19,en-AU,63,63
2017-01-19,en-GB,1578,1578
2017-01-19,en-IN,11,11
2017-01-19,en-gb,10920,10920
2017-01-19,es,24207,24207
2017-01-19,es-MX,6,6
2017-01-19,eu,35,35
2017-01-19,fa,160,160
2017-01-19,fi,119,119
2017-01-19,fil,23,23
2017-01-19,fr,31314,31314
2017-01-19,ga,8,8
2017-01-19,gl,46,46
2017-01-19,he,222,222
2017-01-19,hi,77,77
2017-01-19,hr,27,27
2017-01-19,hu,98,98
2017-01-19,id,28199,28199
2017-01-19,in,20,20
2017-01-19,it,1470,1470
2017-01-19,ja,787,787
2017-01-19,ko,132,132
2017-01-19,lv,2,2
2017-01-19,mr,4,4
2017-01-19,ms,6,6
2017-01-19,msa,67,67
2017-01-19,nb,19,19
2017-01-19,nl,4054,4054
2017-01-19,no,109,109
2017-01-19,pl,369,369
2017-01-19,pt,1912,1912
2017-01-19,pt-PT,4,4
2017-01-19,ro,43,43
2017-01-19,ru,1465,1465
2017-01-19,sk,3,3
2017-01-19,sr,11,11
2017-01-19,sv,796,796
2017-01-19,ta,3,3
2017-01-19,th,116,116
2017-01-19,tr,4329,4329
2017-01-19,uk,15,15
2017-01-19,ur,6,6
2017-01-19,vi,6,6
2017-01-19,xx-lc,11,11
2017-01-19,zh-CN,10,10
2017-01-19,zh-HK,1,1
2017-01-19,zh-TW,8,8
2017-01-19,zh-cn,69,69
2017-01-19,zh-tw,33,33
2017-01-20,ar,219881,219881
2017-01-20,bg,2,2
2017-01-20,ca,94,94
2017-01-20,cs,37,37
2017-01-20,da,39,39
2017-01-20,de,1140,1140
2017-01-20,el,22,22
2017-01-20,en,156949,156949
2017-01-20,en-AU,38,38
2017-01-20,en-GB,410,410
2017-01-20,en-IN,6,6
2017-01-20,en-US,1,1
2017-01-20,en-gb,3839,3839
2017-01-20,es,4810,4810
2017-01-20,eu,3,3
2017-01-20,fa,59,59
2017-01-20,fi,43,43
2017-01-20,fil,4,4
2017-01-20,fr,8618,8618
2017-01-20,gl,4,4
2017-01-20,he,102,102
2017-01-20,hi,29,29
2017-01-20,hr,1,1
2017-01-20,hu,33,33
2017-01-20,id,11808,11808
2017-01-20,in,2,2
2017-01-20,it,357,357
2017-01-20,ja,304,304
2017-01-20,ko,47,47
2017-01-20,lv,1,1
2017-01-20,ms,3,3
2017-01-20,msa,33,33
2017-01-20,nb,10,10
2017-01-20,nl,659,659
2017-01-20,no,14,14
2017-01-20,pl,75,75
2017-01-20,pt,389,389
2017-01-20,ro,20,20
2017-01-20,ru,687,687
2017-01-20,sk,2,2
2017-01-20,sr,5,5
2017-01-20,sv,196,196
2017-01-20,ta,2,2
2017-01-20,th,69,69
2017-01-20,tr,819,819
2017-01-20,uk,2,2
2017-01-20,vi,10,10
2017-01-20,xx-lc,1,1
2017-01-20,zh-CN,4,4
2017-01-20,zh-HK,1,1
2017-01-20,zh-TW,2,2
2017-01-20,zh-cn,17,17
2017-01-20,zh-tw,8,8
2017-01-21,ar,248643,257099
2017-01-21,bg,9,9
2017-01-21,bn,1,1
2017-01-21,ca,394,405
2017-01-21,cs,59,59
2017-01-21,cy,2,2
2017-01-21,da,151,154
2017-01-21,de,3805,3939
2017-01-21,el,92,96
2017-01-21,en,286399,294608
2017-01-21,en-AU,33,34
2017-01-21,en-GB,1317,1355
2017-01-21,en-IN,6,9
2017-01-21,en-US,3,3
2017-01-21,en-gb,7826,8066
2017-01-21,es,18113,18675
2017-01-21,es-MX,3,3
2017-01-21,eu,19,19
2017-01-21,fa,132,135
2017-01-21,fi,143,149
2017-01-21,fil,2,2
2017-01-21,fr,22269,23028
2017-01-21,fr-CA,4,4
2017-01-21,ga,3,3
2017-01-21,gl,30,30
2017-01-21,he,125,127
2017-01-21,hi,44,44
2017-01-21,hr,33,34
2017-01-21,hu,66,70
2017-01-21,id,13589,14162
2017-01-21,in,1,1
2017-01-21,it,1271,1302
2017-01-21,ja,501,523
2017-01-21,ko,52,55
2017-01-21,lt,1,1
2017-01-21,lv,5,5
2017-01-21,ms,3,3
2017-01-21,msa,28,30
2017-01-21,nb,11,13
2017-01-21,nl,4492,4653
2017-01-21,no,83,88
2017-01-21,pl,224,229
2017-01-21,pt,1514,1546
2017-01-21,pt-PT,2,2
2017-01-21,ro,22,22
2017-01-21,ru,636,659
2017-01-21,sr,18,19
2017-01-21,sv,636,655
2017-01-21,th,59,60
2017-01-21,tr,2482,2564
2017-01-21,uk,6,7
2017-01-21,ur,4,4
2017-01-21,vi,3,3
2017-01-21,xx-lc,24,24
2017-01-21,zh-CN,6,7
2017-01-21,zh-TW,2,2
2017-01-21,zh-cn,34,35
2017-01-21,zh-tw,9,9
2017-01-22,ar,383657,383657
2017-01-22,bg,6,6
2017-01-22,bn,2,2
2017-01-22,ca,647,647
2017-01-22,cs,103,103
2017-01-22,cy,7,7
2017-01-22,da,268,268
2017-01-22,de,6376,6376
2017-01-22,el,153,153
2017-01-22,en,471474,471474
2017-01-22,en-AU,60,60
2017-01-22,en-GB,2108,2108
2017-01-22,en-IN,3,3
2017-01-22,en-US,2,2
2017-01-22,en-gb,11800,11800
2017-01-22,es,31909,31909
2017-01-22,es-MX,15,15
2017-01-22,eu,28,28
2017-01-22,fa,165,165
2017-01-22,fi,206,206
2017-01-22,fil,3,3
2017-01-22,fr,30063,30063
2017-01-22,fr-CA,2,2
2017-01-22,ga,6,6
2017-01-22,gl,70,70
2017-01-22,gu,3,3
2017-01-22,he,187,187
2017-01-22,hi,68,68
2017-01-22,hr,40,40
2017-01-22,hu,92,92
2017-01-22,id,30431,30431
2017-01-22,in,7,7
2017-01-22,it,3049,3049
2017-01-22,ja,847,847
2017-01-22,kn,1,1
2017-01-22,ko,187,187
2017-01-22,lolc,1,1
2017-01-22,lv,6,6
2017-01-22,ms,5,5
2017-01-22,msa,72,72
2017-01-22,nb,19,19
2017-01-22,nl,5776,5776
2017-01-22,no,154,154
2017-01-22,pl,438,438
2017-01-22,pt,2724,2724
2017-01-22,pt-PT,5,5
2017-01-22,ro,40,40
2017-01-22,ru,1236,1236
2017-01-22,sk,6,6
2017-01-22,sr,18,18
2017-01-22,sv,1316,1316
2017-01-22,ta,5,5
2017-01-22,th,98,98
2017-01-22,tr,4469,4469
2017-01-22,uk,8,8
2017-01-22,ur,5,5
2017-01-22,vi,7,7
2017-01-22,xx-lc,20,20
2017-01-22,zh-CN,16,16
2017-01-22,zh-Hans,2,2
2017-01-22,zh-TW,10,10
2017-01-22,zh-cn,80,80
2017-01-22,zh-tw,14,14
2017-01-23,ar,422316,422316
2017-01-23,bg,8,8
2017-01-23,bn,3,3
2017-01-23,ca,781,781
2017-01-23,cs,99,99
2017-01-23,cy,3,3
2017-01-23,da,214,214
2017-01-23,de,5367,5367
2017-01-23,el,144,144
2017-01-23,en,452843,452843
2017-01-23,en-AU,46,46
2017-01-23,en-GB,1780,1780
2017-01-23,en-IN,1,1
2017-01-23,en-US,4,4
2017-01-23,en-gb,11442,11442
2017-01-23,es,34518,34518
2017-01-23,es-MX,6,6
2017-01-23,eu,53,53
2017-01-23,fa,144,144
2017-01-23,fi,144,144
2017-01-23,fil,7,7
2017-01-23,fr,28353,28353
2017-01-23,ga,5,5
2017-01-23,gl,107,107
2017-01-23,he,267,267
2017-01-23,hi,62,62
2017-01-23,hr,34,34
2017-01-23,hu,80,80
2017-01-23,id,48181,48181
