day,language,gps,wo_gps
2016-12-25,msa,150,150
2016-12-25,nb,20,20
2016-12-25,nl,4117,4117
2016-12-25,no,100,100
2016-12-25,pl,263,263
2016-12-25,pt,1816,1816
2016-12-25,ro,23,23
2016-12-25,ru,1658,1658
2016-12-25,sr,11,11
2016-12-25,sv,858,858
2016-12-25,th,248,248
2016-12-25,tr,5040,5040
2016-12-25,uk,23,23
2016-12-25,ur,33,33
2016-12-25,vi,15,15
2016-12-25,xx-lc,18,18
2016-12-25,zh-CN,32,32
2016-12-25,zh-Hans,2,2
2016-12-25,zh-TW,3,3
2016-12-25,zh-cn,59,59
2016-12-25,zh-tw,16,16
2016-12-26,ar,90015,94248
2016-12-26,bn,1,1
2016-12-26,ca,35,41
2016-12-26,cs,11,12
2016-12-26,da,33,34
2016-12-26,de,758,812
2016-12-26,el,12,13
2016-12-26,en,100282,105939
2016-12-26,en-AU,15,15
2016-12-26,en-GB,365,397
2016-12-26,en-IN,7,7
2016-12-26,en-gb,2080,2169
2016-12-26,es,2572,2911
2016-12-26,es-MX,0,1
2016-12-26,eu,6,6
2016-12-26,fa,22,22
2016-12-26,fi,21,21
2016-12-26,fil,1,1
2016-12-26,fr,5046,5386
2016-12-26,gl,0,1
2016-12-26,he,50,50
2016-12-26,hi,22,22
2016-12-26,hr,2,2
2016-12-26,hu,15,18
2016-12-26,id,8489,8855
2016-12-26,in,1,1
2016-12-26,it,344,360
2016-12-26,ja,284,293
2016-12-26,kn,1,1
2016-12-26,ko,21,23
2016-12-26,lv,4,4
2016-12-26,ms,2,2
2016-12-26,msa,32,35
2016-12-26,nb,3,4
2016-12-26,nl,514,598
2016-12-26,no,6,12
2016-12-26,pl,27,31
2016-12-26,pt,446,478
2016-12-26,ro,4,4
2016-12-26,ru,379,388
2016-12-26,sk,1,1
2016-12-26,sr,7,7
2016-12-26,sv,160,181
2016-12-26,ta,1,1
2016-12-26,th,50,51
2016-12-26,tr,1025,1059
2016-12-26,ur,14,14
2016-12-26,vi,5,5
2016-12-26,xx-lc,3,3
2016-12-26,zh-CN,10,10
2016-12-26,zh-TW,1,1
2016-12-26,zh-cn,10,10
2016-12-26,zh-tw,5,5
2016-12-27,ar,99507,137559
2016-12-27,bn,1,1
2016-12-27,ca,114,125
2016-12-27,cs,26,32
2016-12-27,da,77,95
2016-12-27,de,1658,1956
2016-12-27,el,24,27
2016-12-27,en,118779,160979
2016-12-27,en-AU,20,24
2016-12-27,en-GB,513,662
2016-12-27,en-IN,4,4
2016-12-27,en-US,9,10
2016-12-27,en-gb,2651,3633
2016-12-27,es,5682,7227
2016-12-27,es-MX,2,2
2016-12-27,eu,4,6
2016-12-27,fa,30,38
2016-12-27,fi,29,34
2016-12-27,fil,2,2
2016-12-27,fr,8089,10036
2016-12-27,ga,1,1
2016-12-27,gl,10,13
2016-12-27,he,64,79
2016-12-27,hi,18,23
2016-12-27,hr,3,4
2016-12-27,hu,18,22
2016-12-27,id,10876,14550
2016-12-27,in,2,5
2016-12-27,it,453,551
2016-12-27,ja,236,313
2016-12-27,kn,2,3
2016-12-27,ko,63,77
2016-12-27,lv,1,1
2016-12-27,ms,2,3
2016-12-27,msa,30,50
2016-12-27,nb,7,10
2016-12-27,nl,1318,1542
2016-12-27,no,31,42
2016-12-27,pl,106,122
2016-12-27,pt,569,937
2016-12-27,pt-PT,1,1
2016-12-27,ro,9,9
2016-12-27,ru,746,985
2016-12-27,sv,238,282
2016-12-27,th,42,54
2016-12-27,tr,1595,1822
2016-12-27,uk,2,3
2016-12-27,ur,8,13
2016-12-27,vi,2,3
2016-12-27,xx-lc,5,7
2016-12-27,zh-CN,4,5
2016-12-27,zh-TW,1,1
2016-12-27,zh-cn,15,24
2016-12-27,zh-tw,6,7
2016-12-28,ar,204584,204584
2016-12-28,bg,4,4
2016-12-28,ca,737,737
2016-12-28,cs,130,130
2016-12-28,da,217,217
2016-12-28,de,5313,5313
2016-12-28,el,128,128
2016-12-28,en,318396,318396
2016-12-28,en-AU,27,27
2016-12-28,en-GB,1487,1487
2016-12-28,en-IN,16,16
2016-12-28,en-US,1,1
2016-12-28,en-gb,8509,8509
2016-12-28,es,24718,24718
2016-12-28,es-MX,1,1
2016-12-28,eu,321,321
2016-12-28,fa,83,83
2016-12-28,fi,130,130
2016-12-28,fil,14,14
2016-12-28,fr,22411,22411
2016-12-28,fr-CA,1,1
2016-12-28,ga,1,1
2016-12-28,gl,58,58
2016-12-28,gu,1,1
2016-12-28,he,127,127
2016-12-28,hi,68,68
2016-12-28,hr,21,21
2016-12-28,hu,78,78
2016-12-28,id,23669,23669
2016-12-28,in,6,6
2016-12-28,it,1636,1636
2016-12-28,ja,680,680
2016-12-28,ko,86,86
2016-12-28,lv,8,8
2016-12-28,ms,8,8
2016-12-28,msa,93,93
2016-12-28,nb,17,17
2016-12-28,nl,4311,4311
2016-12-28,no,103,103
2016-12-28,pl,320,320
2016-12-28,pt,8978,8978
2016-12-28,pt-PT,9,9
2016-12-28,ro,48,48
2016-12-28,ru,1304,1304
2016-12-28,sk,3,3
2016-12-28,sr,13,13
2016-12-28,sv,739,739
2016-12-28,ta,1,1
2016-12-28,th,152,152
2016-12-28,tr,5190,5190
2016-12-28,uk,14,14
2016-12-28,ur,1,1
2016-12-28,vi,10,10
2016-12-28,xx-lc,8,8
2016-12-28,zh-CN,24,24
2016-12-28,zh-TW,8,8
2016-12-28,zh-cn,45,45
2016-12-28,zh-tw,30,30
2016-12-29,ar,289197,289197
2016-12-29,bg,6,6
2016-12-29,bn,2,2
2016-12-29,ca,338,338
2016-12-29,cs,105,105
2016-12-29,da,227,227
2016-12-29,de,5592,5592
2016-12-29,el,107,107
2016-12-29,en,321760,321760
2016-12-29,en-AU,43,43
2016-12-29,en-GB,1601,1601
2016-12-29,en-IN,6,6
2016-12-29,en-US,4,4
2016-12-29,en-gb,8766,8766
2016-12-29,es,18332,18332
2016-12-29,es-MX,3,3
2016-12-29,eu,175,175
2016-12-29,fa,100,100
2016-12-29,fi,114,114
2016-12-29,fil,13,13
2016-12-29,fr,21149,21149
2016-12-29,ga,6,6
2016-12-29,gl,23,23
2016-12-29,gu,1,1
2016-12-29,he,152,152
2016-12-29,hi,46,46
2016-12-29,hr,40,40
2016-12-29,hu,65,65
2016-12-29,id,18396,18396
2016-12-29,in,4,4
2016-12-29,it,1576,1576
2016-12-29,ja,579,579
2016-12-29,kn,4,4
2016-12-29,ko,72,72
2016-12-29,lt,1,1
2016-12-29,lv,2,2
2016-12-29,mr,1,1
2016-12-29,ms,10,10
2016-12-29,msa,77,77
2016-12-29,nb,13,13
2016-12-29,nl,4005,4005
2016-12-29,no,88,88
2016-12-29,pl,412,412
2016-12-29,pt,18936,18936
2016-12-29,pt-BR,1,1
2016-12-29,pt-PT,7,7
2016-12-29,ro,24,24
2016-12-29,ru,1275,1275
2016-12-29,sk,2,2
2016-12-29,sl,1,1
2016-12-29,sq,1,1
2016-12-29,sr,8,8
2016-12-29,sv,806,806
2016-12-29,ta,4,4
2016-12-29,th,140,140
2016-12-29,tr,4618,4618
2016-12-29,uk,10,10
2016-12-29,ur,5,5
2016-12-29,vi,11,11
2016-12-29,xx-lc,17,17
2016-12-29,zh-CN,21,21
2016-12-29,zh-TW,6,6
2016-12-29,zh-cn,36,36
2016-12-29,zh-tw,28,28
2016-12-30,ar,229951,229951
2016-12-30,bg,4,4
2016-12-30,bn,2,2
2016-12-30,ca,424,424
2016-12-30,cs,101,101
2016-12-30,da,196,196
2016-12-30,de,5388,5388
2016-12-30,el,132,132
2016-12-30,en,278180,278180
2016-12-30,en-AU,36,36
2016-12-30,en-GB,1278,1278
2016-12-30,en-IN,7,7
2016-12-30,en-US,3,3
2016-12-30,en-gb,7944,7944
2016-12-30,es,15724,15724
2016-12-30,es-MX,1,1
2016-12-30,eu,74,74
2016-12-30,fa,88,88
2016-12-30,fi,111,111
2016-12-30,fil,4,4
2016-12-30,fr,19548,19548
2016-12-30,fr-CA,2,2
2016-12-30,ga,5,5
2016-12-30,gl,18,18
2016-12-30,gu,1,1
2016-12-30,he,203,203
2016-12-30,hi,45,45
2016-12-30,hr,31,31
2016-12-30,hu,61,61
2016-12-30,id,18533,18533
2016-12-30,in,2,2
2016-12-30,it,1363,1363
2016-12-30,ja,585,585
2016-12-30,ko,67,67
2016-12-30,lv,7,7
2016-12-30,ms,7,7
2016-12-30,msa,47,47
2016-12-30,nb,16,16
2016-12-30,nl,4246,4246
2016-12-30,no,81,81
2016-12-30,pl,278,278
2016-12-30,pt,3526,3526
2016-12-30,pt-PT,3,3
2016-12-30,ro,29,29
2016-12-30,ru,1169,1169
2016-12-30,sk,4,4
2016-12-30,sr,14,14
2016-12-30,sv,670,670
