"fromuser","count"
"GAAP66Legions",90
"fubaglady",90
"888Scott",89
"Jaime4ou",89
"aebkab",89
"GinaLawriw",89
"tyrannywatch",89
"jefiorentino",89
"Lordozz",89
"Polys67",89
"jjmplsmn",89
"cblazina",89
"juliesbooks",89
"DisDemsDaily",89
"JQCalderwood",89
"RNRMaryland",89
"karen58Romans",89
"winegirl73",88
"KazmierskiR",88
"nmomminator",88
"GYFHAS",88
"ztakso",88
"giosgroi",88
"ndylan1",88
"MCKLA2",87
"dekelley14",87
"GeeWhiz__",87
"LibertyNews1776",86
"hlhs2002",86
"dale_callihan",86
"freedomfightsuk",86
"JonUPS_",86
"IndyK46220",86
"DechertWilliam",86
"Haley_Greentree",86
"LawrenceReid08",86
"4361a4be893d4c0",86
"emraanmughal",86
"nooneishere51",86
"USVeteran2",86
"noybsk2017",86
"RhondaS75500655",86
"veritaz",86
"mgd2278",85
"rharrisonfries",85
"LyndaE222",85
"dragonsandy1",85
"sadallsas",85
"Eykis",85
"WheatSuzanne",85
"cecki",85
"Serafinos",85
"Favstar_Bot",85
"Cynthiastruth",85
"MiceeMouse",84
"JenTromans",84
"LVNancy",84
"dxguy7",84
"hale4jesus",84
"kellyz713",84
"itsmeMereW",84
"dave31_sam",84
"FriendlyJMC",84
"VedehiMajumdar",84
"textifyer59",84
"Cindy_52s",84
"Banks_Todd",84
"milley_steve",84
"smh1066",83
"aliwojo19",83
"DanaBoos3",83
"LouiseLowery12",83
"KNP2BP",83
"grandpooba5440",83
"BWSchank",83
"Gwydion620",82
"ReTweetUrPost",82
"sunneversets100",82
"c5hardtop1999",82
"TwoDanielSharp",82
"carmic14",82
"moosemyfrnds1",82
"AnnRoss201111",82
"varda_friedman",81
"wonderfullone",81
"Eskandaranya",81
"1306Chomley",81
"SharonMcCutchan",81
"nuggiano1",81
"Dontvoteliberal",81
"TempletonTJones",81
"jfg0605",81
"Iwanhi",81
"libertylady44",81
"suprsilentdave",81
"crankyallAnimal",80
"StayHopeful16",80
"Jlhrdhcotuit",80
"szymonuak",80
"DavidLance3",80
"Thoreaus_Horse",80
"lghcox",80
"bprophetable",80
"crazydazer",80
"lynn_weiser",80
"jgwin1955",80
"jciamcur1",80
"Diamondrosegrfx",80
"LeslieLee327",80
"contenteddriver",80
"lancastrian14",80
"dominickevans",80
"Joycep7777",80
"pt_santy2",80
"ptydale1001",80
"ygunner2121",79
"cbprincess5",79
"51LouShelly65",79
"USAHipster",79
"Arlene90957198",79
"Eliz_Hightower",79
"20Steele20",79
"UKApathyParty",79
"Anglachelle",79
