"tweet","min","count"
"RT : More radical Islam attacks today - it never ends! Strengthen the borders; we must be vigilant and smart. No more being… @realDonaldTrump","Fri Feb 24 14:18:33 CST 2017",1
"RT : ': One of Paris terrorist came as Syrian refugee. Donald Trump is right again. BOMB THEIR OIL - TAKE A… @realDonaldTrump @thewatcher23579","Wed Feb 01 08:01:29 CST 2017",1
"RT : Again; immigration reform is fine—but don’t rush to give away our country. That’s what’s happening! @realDonaldTrump","Mon Feb 06 19:07:04 CST 2017",1
"RT this is what  is trying to keep out of this country @realDonaldTrump","Sun Jan 29 12:25:21 CST 2017",1
"RT  alot of illegal immigrants pay taxes to US budget;but your new immigration law ban that. wrong decision. @realDonaldTrump","Wed Feb 22 11:28:56 CST 2017",1
"RT  was RIGHT about ; who blocked me for sharing my FREE SPEECH. … @realDonaldTrump @PrisonPlanet","Sun Feb 19 19:24:02 CST 2017",1
"RT : Congress must protect our borders first. Amnesty should be done only if the border is secure and illegal immigration h… @realDonaldTrump","Thu Jan 19 12:33:01 CST 2017",1
"RT : Nation's Immigration And Customs Enforcement Officers (ICE) Make First-Ever Presidential Endorsement: https://t.co/eO1… @realDonaldTrump","Sun Jan 29 10:41:55 CST 2017",1
"RT  Your #4 Priority: Have Tillerson & the State Dept. designate CAIR; Muslim Brotherhood; et al.(s… @realDonaldTrump","Wed Feb 15 23:12:01 CST 2017",1
"RT RT RT:  IS GIVING $500 BILLION to RUSSIA! @realDonaldTrump","Sun Jan 29 17:53:01 CST 2017",1
"RT : '@LebaneseKobe:  as a Muslim and as an American; i know for a fact that you Mr. Trump respect all peop… @realDonaldTrump","Mon Feb 13 19:52:00 CST 2017",1
"RT : The Muslim Brotherhood; 's allies in Egypt; will cancel the Camp David Agreement.    W… @realDonaldTrump @BarackObama","Tue Jan 31 00:37:04 CST 2017",1
"RT:       #AfghanVetArrested Free vet that stopped boy child… @realDonaldTrump","Sat Feb 25 17:09:12 CST 2017",1
"RT : Via : 'Trump warns GOP moving too fast on immigration reform'   by @realDonaldTrump @thehill @JonEasley","Mon Feb 20 04:00:39 CST 2017",1
"RT All day!   FLASHBACK: Bill Clinton on Illegal Immigration: 'We are a Nation of Laws' @realDonaldTrump","Mon Jan 30 09:10:23 CST 2017",1
"RT : I am very proud to have brought the subject of illegal immigration back into the discussion. Such a big problem for ou… @realDonaldTrump","Tue Feb 07 20:53:16 CST 2017",1
"RT RT RT:  IS GIVING $500 BILLION to RUSSIA - immigrant BAN a COVER UP!!!! @realDonaldTrump","Sun Jan 29 17:54:30 CST 2017",1
"RT Pray 4 Pastor      @RudyGiuliani… @realDonaldTrump @GenFlynn @GenMaddogMattis @SenatorSessions @StephenBannon","Sat Jan 14 03:34:07 CST 2017",1
"RT : Not only did Egypt destroy its civil society w/ the Muslim Brotherhood; now it is a complete economic mess http://t.co… @realDonaldTrump","Tue Feb 14 15:10:02 CST 2017",1
"RT : Jeb Bush is weak on illegal immigration; in favor of common core; bad on women's health issues and thinks the Iraq war… @realDonaldTrump","Mon Jan 23 22:33:32 CST 2017",1
"RT:  This would be a great vetting process; no religion included.  … @realDonaldTrump @gerfingerpoken @PatVPeters","Mon Feb 20 09:36:16 CST 2017",1
"RT RT RT:  BLACKMAILED into GIVING $500 BILLION to RUSSIA - immigrant BAN a COVER UP!!!!! @realDonaldTrump","Sun Jan 29 17:57:57 CST 2017",1
"RT : Hillary won't call out radical Islam! She will be soundly defeated. @realDonaldTrump","Mon Jan 23 07:19:43 CST 2017",1
"RT : It is terrible that neither Obama; Biden nor Kerry attended Lady Thatcher’s funeral. They would all run to Muslim Brot… @realDonaldTrump","Sun Feb 26 04:55:58 CST 2017",1
"RT:  IS GIVING $500 BILLION to RUSSIA - immigrant BAN a COVER UP!!!!! @realDonaldTrump","Sun Jan 29 17:55:47 CST 2017",1
"RT if you think  is overstating the danger we face from terrorists who claim to be Muslim. Tell him that you ! @realDonaldTrump","Thu Feb 09 06:32:14 CST 2017",1
"RT : Obama now wants to give another $450M to the Muslim Brotherhood. Money we don't have going to people that hate us. Mor… @realDonaldTrump","Sun Feb 19 15:25:14 CST 2017",1
"RT Yep; as the President stated -  another epidemic is in Sweden - Media of course spins as always… @realDonaldTrump","Sun Feb 19 18:26:54 CST 2017",1
