"fromuser","count"
"DianaBialkowski",200
"ErinBSullivan",200
"sassysassyred",200
"realclearisrael",200
"USApatriot4all",200
"ShellyKennisto1",200
"shekharmani",200
"katestratton3",199
"bachakhan1890",198
"New_Narrative",198
"marcylauren",197
"BIGSHOW401",197
"dstairs1",197
"Callyboo5",197
"trudeauisscum",195
"finite_planet",195
"CardenasElanie",195
"FootballKig",195
"KauLynn",195
"miapiatrump",194
"FLMarEng",194
"YMcglaun",194
"rickbkylex",194
"hrblock_21",193
"ConcernedHigh",193
"sunnyherring1",193
"nizmycuba",193
"WaerdtC",193
"moneybunnyalice",192
"crumbssoftware",192
"Linz775",192
"WWICSReviews",191
"TruthTalkerUSA",191
"realmojesse5372",191
"cocosbentmind",191
"kenfriend55",190
"Brendag38323989",190
"nuggiano1",190
"TrumpWatchNews",189
"Keasmom",189
"I_Nate_Higgers_",189
"rachaelmontague",189
"Margi1959",189
"PcExtremist",188
"subtel1",188
"Jen_N_Russ",188
"Tad_mars",188
"AbergeracBerger",188
"marjies1949",187
"RemSerIll",187
"franceschinian2",187
"fubaglady",187
"qkode",186
"jokowi___",186
"RajeshKumar_34",186
"Tee_Quake",186
"VigilPatriot",186
"JL02048628",185
"beulahcrusoe",185
"A_Rockas",185
"kangsemproel",185
"DesignerDeb3",185
"newhorizons777",185
"richardcircle",184
"EnigmaNetxx",184
"StevenLovesUSA1",184
"AbuGhidza",184
"DeborahOchoa07",183
"Wayne5Juan",183
"ginap4462",183
"lovingmykids65",183
"SENATOR_Malta",182
"KNP2BP",182
"mgd2278",182
"ezzomo",182
"MiceeMouse",182
"Chirpinagin",181
"WhiteJacketPink",181
"nanr18",181
"BlissTabitha",181
"49f8f38790164c4",180
"realityinACTION",180
"svagdis",180
"chrizzy100",180
"dancingladybug6",180
"rharrisonfries",180
"Melissamee3",179
"technitell",179
"Mo_An2016",179
"ktd101551",179
"meNabster",178
"OZzSue1",178
"tyrannywatch",178
"SheilaDecker19",178
"AlwayanAmerican",178
"Stevenf85600801",178
"ConeMat",177
"SDGMasterglass",177
"CannonballRoll",177
"LVNancy",177
"charlotta615",177
"cbprincess5",177
"DrottM",176
"RhondaS75500655",176
"Cynthiastruth",176
"cecki",176
"Kiss_Yer_Maw",176
"PaulObrienUSA",176
"agapanthus49",175
"Rhonda9080",175
"1991_ethan",175
"JWeismonger",175
"51LouShelly65",175
"ChrisBragdon",174
"Anzers",174
"kheatherbrown",174
"60sReno",174
"USVeteran2",174
"MediaOmissions",174
"giosgroi",174
"themadsloth",174
"erg010",174
"DechertWilliam",174
"LailyWisnu",173
"dhaybron1",173
"troyawalters",173
"dave31_sam",173
"sokeijarhead",173
"norvilgirl",173
"ukexpat19",172
"CarlMatsx2",172
"powerglobalus",172
"aziaone1",172
"ICUevrywhere",172
"chevymo",172
"suprsilentdave",172
"USATopGuns",172
"321Chapp",172
"ekdeplorable",171
"SurrattPenny",171
"TarekFatah",171
"Adrian_Wainer",171
"WaydeDe",171
"imranokazmi",171
"lblink949",171
"RealTruNews2017",170
"philmonaco67",170
"doggrandma",169
"maxger31",169
"RosalesRosina",169
"islamlie2",169
"democracy4real",169
"americansr4DT",168
"DianneSteiner",168
"aguayoclay",168
"debra_bonanno",168
"benm008",168
"wrow51",168
"jmansour52",167
"LyndaAtchison",167
"TrumptheB",167
"vivelafra",167
"citigirl555",167
"SharonMcCutchan",167
"bigopinion123",167
"PJKirk7",167
"szymonuak",166
"Solutioneer72",166
"jdgro3253",166
"Pastor4SMI",166
"sweetsabina",166
"naenae61_grp",166
"jefiorentino",166
"PennyHicks13",166
"inabster",166
"BillPar24756930",166
"ADonWalker3",166
"Free_america19",165
"LuckyMomIAm",165
"BigDuhie1955",165
"ginareyna",165
"Dylanesque2604",164
"VFL2013",164
"Dimplenut",164
"grose65511",164
"Sophiethe3rd",164
"SPK72x",164
"CtBrokerRoks",163
"TerreBehlog",163
"dlbforbama",163
"StandTallEurope",163
"csayegh35",163
"NoMoreRapeJihad",163
"MarthaVineyard4",163
"MimiJolie57",163
"ZenaMorse",163
"NoreenR1",163
"stoersender42",163
"Cindyg1948Cindy",163
"jlizza1",163
"NathanSvopa",163
"couldovfooledme",163
"ProudInfidel321",162
"formerleft",162
"DanaRuxi123",162
"LincolnLA1",162
"LibertyNews1776",162
"yojudenz",161
