"fromuser","count"
"HellBlazeRaiser",26
"sudischuricht",26
"4Freedom4ever",26
"Trump_Donald_J_",26
"JackdubzTv",26
"LuckyMomIAm",26
"acamara0728",26
"wilmajeanne",26
"drEmanuelJewish",26
"slowpoke1428",26
"amandaspleas",26
"south_attorney",26
"docCKRN",26
"Shanbarani",26
"Amazigh____",26
"redhardino",26
"Eykis",26
"OldmanLogan2008",26
"Cheryl_P12",26
"Natire2u",26
"dwboden",26
"nmomminator",26
"cloudwanderer3",26
"peacelovedixie",26
"Favstar_Bot",26
"CathyTo47590555",26
"eddyrogerparker",26
"DeborahOchoa07",26
"FreakyP88",26
"BMTTG",26
"KarrenKuk",26
"jrgfloor",26
"KnudsenColleen",26
"joysamcyborg",26
"nitarich",25
"frangeladuo",25
"NoyzeSmythe",25
"kellyryanobrien",25
"politically_cor",25
"ConservJean",25
"StephenB_88",25
"LesgartCPA",25
"The_Smirker",25
"demjsm",25
"Tamaralynn212",25
"libertylady44",25
"TitoHajduk",25
"izzuezerss",25
"lucymypet",25
"4est2J",25
"mjohnso27",25
"anne1099",25
"msmithobx",25
"aerdt",25
"MSMWatchdog2013",25
"aurarivera11171",25
"MimiJolie57",25
"bohomem",25
"WahhabiccJATENG",25
"andy051313",25
"BenaissanceMan",25
"lplatosmith",24
"HappyHexham",24
"LorenceHud",24
"AngieStein15",24
"lizditz",24
"GreekStyle1",24
"lynn_weiser",24
"billarnold777",24
"MissyJoM",24
"inabster",24
"twistedblaster",24
"Arlene90957198",24
"UdnSpeak4me",24
"HinduRajyam",24
"Universe4Trump",24
"BrayleegirlK",24
"talene",24
"JoeTurner212",24
"sumodkuhar",24
"djtmovement",24
"TeeTweetsHere",24
"kgifford20",24
"nizmycuba",24
"dpkphdcpt",24
"pedershk",24
"KimWill007",24
"NanaP28469766",24
"elliottgce1",24
"WrightTownsend",24
"joan503",24
"YCH7168",24
"drogon_dracarys",24
"ygunner2121",24
"carmic14",24
"yprcrzy",24
"everlong554",24
"debilu2",24
"FML_Nation",24
"bulusu_",24
"abbaeld",24
"Alejandnm",24
"787Blogger",24
"AmerPride777",24
"OliverWest100",23
"Dimanc59",23
"oneworldunder1",23
"airlift1300",23
"onlyfourth",23
"ellen_ritt",23
"MyLoveT1977",23
"55Lidsville",23
"prosper_stanley",23
"EllenMorris1222",23
"PamPauline1",23
"aldunez",23
"PcExtremist",23
"gabino_58",23
"Polar_Bear_West",23
"america_mag",23
"sunnyherring1",23
"Deplorable_Lara",23
"The_Anti_Fox",23
"lblink949",23
"StopStopHillary",23
"ericcvandiver",23
"UKTodayTopNews",23
"KatherineGribk2",23
"therealUSFParty",23
"DisDemsDaily",23
"thinker128",23
"Ketosis4win_",23
"tahino1",23
"dxguy7",23
"Tommy_Blackjack",23
"Justicegroupie2",23
"RednaxalA",23
"EcBillofRights",23
"sagaciousette",23
"KruelaDeBird",23
"SirBasilBrush",23
"FIgdari",23
"rhuibers1",23
"huge_organ",23
"sdalas73",23
"bjjgb72",23
"ShanChan_37",23
"hunnybun100",23
"SF_Rising",23
"bolakalesjm",23
"shabazz_rashad",23
"iSlaveTrolls",23
"Rowaenthe",23
"_Bayleigh_",23
"rbmumsie",23
