f_name,time,orig,message,eng,clean,stem,label,gps
../data/external/scrape/tweets_immigrant_34363.csv,20.5220398903,506300.0,505295.0,202267.0,202267.0,202266.0,1642.0,1642.0
../data/external/scrape/tweets_immigrant_34364.csv,20.4375703335,463200.0,461785.0,193437.0,193437.0,193437.0,1660.0,1660.0
../data/external/scrape/tweets_immigrant_34365.csv,16.8902258873,417400.0,416480.0,171062.0,171062.0,171062.0,1538.0,1538.0
../data/external/scrape/tweets_immigrant_34366.csv,23.5737428665,556483.0,555353.0,236917.0,236917.0,236916.0,1599.0,1599.0
../data/external/scrape/tweets_immigrant_34367.csv,17.6496906281,469700.0,468935.0,184763.0,184763.0,184763.0,1036.0,1036.0
../data/external/scrape/tweets_immigrant_34368.csv,17.6782100201,421000.0,419998.0,176224.0,176224.0,176223.0,1034.0,1034.0
../data/external/scrape/tweets_immigrant_34369.csv,18.9871730804,508600.0,507899.0,187777.0,187777.0,187777.0,763.0,763.0
../data/external/scrape/tweets_immigrant_34370.csv,22.8419828415,505100.0,503834.0,208826.0,208826.0,208825.0,856.0,856.0
../data/external/scrape/tweets_immigrant_34371.csv,20.7035803795,528700.0,527830.0,204494.0,204494.0,204494.0,1394.0,1394.0
../data/external/scrape/tweets_immigrant_34372.csv,21.4450848103,481102.0,480067.0,207623.0,207623.0,207623.0,1437.0,1437.0
../data/external/scrape/tweets_immigrant_34373.csv,18.5356247425,426602.0,426026.0,173730.0,173730.0,173728.0,857.0,418.0
../data/external/scrape/tweets_immigrant_34374.csv,24.0962030888,484200.0,483048.0,221916.0,221916.0,221915.0,1008.0,980.0
../data/external/scrape/tweets_immigrant_34375.csv,25.4304158688,475900.0,474966.0,238023.0,238023.0,238023.0,972.0,972.0
../data/external/scrape/tweets_immigrant_34376.csv,26.2027440071,533900.0,532603.0,242561.0,242561.0,242558.0,1405.0,1405.0
../data/external/scrape/tweets_immigrant_34377.csv,22.8180832863,484800.0,483544.0,220778.0,220778.0,220777.0,1466.0,1466.0
../data/external/scrape/tweets_immigrant_34378.csv,23.7456285954,534200.0,532974.0,230142.0,230142.0,230142.0,1771.0,1771.0
../data/external/scrape/tweets_immigrant_34379.csv,24.5005178452,514700.0,513382.0,237695.0,237695.0,237683.0,2732.0,2732.0
../data/external/scrape/tweets_immigrant_34380.csv,24.0120654106,520900.0,519624.0,223241.0,223241.0,223240.0,1303.0,1303.0
../data/external/scrape/tweets_immigrant_34381.csv,40.8043234348,675500.0,673501.0,365025.0,365025.0,365020.0,1723.0,1723.0
../data/external/scrape/tweets_immigrant_34382.csv,51.9785587788,781500.0,779057.0,461947.0,461947.0,461942.0,2149.0,2149.0
../data/external/scrape/tweets_immigrant_34383.csv,69.8022184372,1002500.0,999613.0,613282.0,613282.0,613281.0,2285.0,2285.0
../data/external/scrape/tweets_immigrant_34384.csv,45.8962826729,709137.0,706885.0,420400.0,420400.0,420399.0,1623.0,1623.0
../data/external/scrape/tweets_immigrant_34385.csv,43.7708282471,809400.0,807361.0,429365.0,429365.0,429365.0,1812.0,1812.0
../data/external/scrape/tweets_immigrant_34386.csv,38.5752251148,662800.0,660416.0,364749.0,364749.0,364749.0,3152.0,3152.0
../data/external/scrape/tweets_immigrant_34387.csv,93.4790518284,1139600.0,1135189.0,812635.0,812635.0,812634.0,11769.0,11769.0
../data/external/scrape/tweets_immigrant_34388.csv,143.865699768,1584400.0,1576882.0,1186437.0,1186437.0,1186437.0,17047.0,17047.0
../data/external/scrape/tweets_immigrant_34389.csv,189.596615314,1964300.0,1952594.0,1647936.0,1647936.0,1647935.0,17685.0,17685.0
../data/external/scrape/tweets_immigrant_34390.csv,154.626103163,1777368.0,1765402.0,1372355.0,1372355.0,1372353.0,13843.0,13843.0
../data/external/scrape/tweets_immigrant_34391.csv,160.436830044,1743547.0,1731907.0,1434075.0,1434075.0,1434075.0,16683.0,16683.0
../data/external/scrape/tweets_immigrant_34392.csv,142.423410416,1678633.0,1666807.0,1265126.0,1265126.0,1265122.0,20143.0,20143.0
../data/external/scrape/tweets_immigrant_34393.csv,160.9848454,1723000.0,1710895.0,1401207.0,1401207.0,1401207.0,20848.0,20848.0
../data/external/scrape/tweets_immigrant_34394.csv,109.822136641,1380853.0,1371951.0,968887.0,968887.0,968887.0,11537.0,11537.0
../data/external/scrape/tweets_immigrant_34395.csv,89.0103781223,1133386.0,1126615.0,815524.0,815524.0,815523.0,7969.0,7969.0
../data/external/scrape/tweets_immigrant_34396.csv,70.5146565437,999142.0,993685.0,621850.0,621850.0,621845.0,8265.0,8265.0
../data/external/scrape/tweets_immigrant_34397.csv,65.6996474266,932000.0,927462.0,601228.0,601228.0,601226.0,7870.0,7870.0
../data/external/scrape/tweets_immigrant_34398.csv,56.7635698318,850141.0,846677.0,517583.0,517583.0,517583.0,6870.0,6870.0
../data/external/scrape/tweets_immigrant_34399.csv,55.7731869221,870949.0,867590.0,518599.0,518599.0,518599.0,4201.0,4201.0
../data/external/scrape/tweets_immigrant_34400.csv,53.7116672993,809226.0,805791.0,489171.0,489171.0,489170.0,3821.0,3821.0
tweets_immigrant_34401.csv,,,,,,,,
../data/external/scrape/tweets_immigrant_34402.csv,54.122490406,767700.0,763524.0,487299.0,487299.0,487298.0,3681.0,3681.0
../data/external/scrape/tweets_immigrant_34403.csv,53.161128521,792000.0,788116.0,489843.0,489843.0,489843.0,3412.0,3412.0
../data/external/scrape/tweets_immigrant_34404.csv,46.7011384964,759017.0,755611.0,428314.0,428314.0,428314.0,3410.0,3410.0
../data/external/scrape/tweets_immigrant_34405.csv,43.9901163578,719100.0,716098.0,410867.0,410867.0,410867.0,3855.0,3855.0
../data/external/scrape/tweets_immigrant_34406.csv,41.3343317509,712900.0,709757.0,392278.0,392278.0,392278.0,2781.0,2781.0
../data/external/scrape/tweets_immigrant_34407.csv,41.2245979309,657200.0,654101.0,380651.0,380651.0,380651.0,2551.0,2551.0
../data/external/scrape/tweets_immigrant_34408.csv,39.4895789623,599000.0,595871.0,354354.0,354354.0,354353.0,4257.0,4257.0
../data/external/scrape/tweets_immigrant_34409.csv,41.2066254616,674300.0,671570.0,381226.0,381226.0,381226.0,2902.0,2902.0
../data/external/scrape/tweets_immigrant_34410.csv,44.0236535072,799800.0,796867.0,405194.0,405194.0,405194.0,2315.0,2315.0
../data/external/scrape/tweets_immigrant_34411.csv,40.7076551914,688600.0,685803.0,395037.0,395037.0,395037.0,2297.0,2297.0
../data/external/scrape/tweets_immigrant_34412.csv,43.4647600651,672200.0,669544.0,402264.0,402264.0,402261.0,1818.0,1818.0
../data/external/scrape/tweets_immigrant_34413.csv,67.2691271305,927600.0,923506.0,608436.0,608436.0,608435.0,2237.0,2237.0
../data/external/scrape/tweets_immigrant_34414.csv,46.1862449646,732100.0,729071.0,424179.0,424179.0,424178.0,2891.0,2891.0
../data/external/scrape/tweets_immigrant_34415.csv,54.3293039799,786300.0,782625.0,494911.0,494911.0,494907.0,2641.0,2641.0
../data/external/scrape/tweets_immigrant_34416.csv,45.8174211979,717320.0,714126.0,424234.0,424234.0,424234.0,2133.0,2133.0
../data/external/scrape/tweets_immigrant_34417.csv,39.2333247662,669800.0,667252.0,375508.0,375508.0,375508.0,1898.0,1898.0
../data/external/scrape/tweets_immigrant_34418.csv,40.8379969597,624400.0,621497.0,366720.0,366720.0,366718.0,2150.0,2150.0
../data/external/scrape/tweets_immigrant_34419.csv,41.3809497356,642771.0,640348.0,371450.0,371450.0,371450.0,4564.0,4564.0
../data/external/scrape/tweets_immigrant_34420.csv,38.0219707489,649800.0,647370.0,352848.0,352848.0,352839.0,2677.0,2677.0
../data/external/scrape/tweets_immigrant_34421.csv,39.6008327007,646000.0,643646.0,358042.0,358042.0,358041.0,3515.0,3515.0
../data/external/scrape/tweets_immigrant_34422.csv,32.7029175758,583600.0,581706.0,302783.0,302783.0,302782.0,1830.0,1830.0
../data/external/scrape/tweets_immigrant_34423.csv,31.6491682529,563697.0,561917.0,299100.0,299100.0,299098.0,1102.0,1102.0
../data/external/scrape/tweets_immigrant_34424.csv,35.9061636925,630300.0,628600.0,338279.0,338279.0,338275.0,1944.0,1944.0
../data/external/scrape/tweets_immigrant_34425.csv,38.0237414837,636100.0,634234.0,352018.0,352018.0,352018.0,3219.0,3219.0
../data/external/scrape/tweets_immigrant_34426.csv,39.790309906,645400.0,643087.0,367375.0,367375.0,367373.0,2162.0,2162.0
../data/external/scrape/tweets_immigrant_34427.csv,34.7651069164,628946.0,627210.0,332952.0,332952.0,332949.0,2595.0,2595.0
../data/external/scrape/tweets_immigrant_34428.csv,35.9433777332,631178.0,628778.0,338084.0,338084.0,338083.0,1496.0,1496.0
../data/external/scrape/tweets_immigrant_34429.csv,30.2658281326,614000.0,612108.0,306837.0,306837.0,306837.0,2649.0,2649.0
../data/external/scrape/tweets_immigrant_34430.csv,31.0994961262,626600.0,624844.0,295836.0,295836.0,295834.0,3367.0,3367.0
../data/external/scrape/tweets_immigrant_34431.csv,28.404500246,541300.0,539710.0,274643.0,274643.0,274643.0,1756.0,1756.0
../data/external/scrape/tweets_immigrant_34432.csv,42.1142575741,717700.0,714077.0,381400.0,381400.0,381400.0,2590.0,2590.0
../data/external/scrape/tweets_immigrant_34433.csv,52.9514968395,769886.0,765544.0,487504.0,487504.0,487504.0,8610.0,8610.0
../data/external/scrape/tweets_immigrant_34434.csv,51.4071714878,799822.0,796189.0,453462.0,453462.0,453460.0,5068.0,5068.0
../data/external/scrape/tweets_immigrant_34435.csv,37.7004647255,608561.0,605870.0,347510.0,347510.0,347509.0,3133.0,3133.0
../data/external/scrape/tweets_immigrant_34436.csv,41.540248394,737240.0,733926.0,389706.0,389706.0,389706.0,3012.0,3012.0
../data/external/scrape/tweets_immigrant_34437.csv,43.5763287544,681600.0,678717.0,410999.0,410999.0,410999.0,3074.0,3074.0
../data/external/scrape/tweets_immigrant_34438.csv,41.4597520828,675600.0,672746.0,384458.0,384458.0,384458.0,2430.0,2430.0
../data/external/scrape/tweets_immigrant_34439.csv,34.1281797886,539600.0,536928.0,318301.0,318301.0,318300.0,1725.0,1725.0
../data/external/scrape/tweets_immigrant_34440.csv,39.4834606647,709000.0,706748.0,366805.0,366805.0,366805.0,2170.0,2170.0
../data/external/scrape/tweets_immigrant_34441.csv,34.7903180122,568300.0,566309.0,312987.0,312987.0,312986.0,1677.0,1677.0
../data/external/scrape/tweets_immigrant_34442.csv,32.0002219677,576400.0,574599.0,309272.0,309272.0,309270.0,1476.0,1476.0
