clean,eng,f_name,gps,label,message,orig,stem,time
185683.0,185683.0,../data/external/scrape/tweets_immigrant_34362.csv,1374.0,1374.0,455843.0,456800.0,185682.0,18.78833794593811
202267.0,202267.0,../data/external/scrape/tweets_immigrant_34363.csv,1642.0,1642.0,505295.0,506300.0,202266.0,20.522039890289307
193437.0,193437.0,../data/external/scrape/tweets_immigrant_34364.csv,1660.0,1660.0,461785.0,463200.0,193437.0,20.437570333480835
171062.0,171062.0,../data/external/scrape/tweets_immigrant_34365.csv,1538.0,1538.0,416480.0,417400.0,171062.0,16.890225887298584
236917.0,236917.0,../data/external/scrape/tweets_immigrant_34366.csv,1599.0,1599.0,555353.0,556483.0,236916.0,23.573742866516113
184763.0,184763.0,../data/external/scrape/tweets_immigrant_34367.csv,1036.0,1036.0,468935.0,469700.0,184763.0,17.649690628051758
176224.0,176224.0,../data/external/scrape/tweets_immigrant_34368.csv,1034.0,1034.0,419998.0,421000.0,176223.0,17.678210020065308
187777.0,187777.0,../data/external/scrape/tweets_immigrant_34369.csv,763.0,763.0,507899.0,508600.0,187777.0,18.987173080444336
208826.0,208826.0,../data/external/scrape/tweets_immigrant_34370.csv,856.0,856.0,503834.0,505100.0,208825.0,22.8419828414917
204494.0,204494.0,../data/external/scrape/tweets_immigrant_34371.csv,1394.0,1394.0,527830.0,528700.0,204494.0,20.703580379486084
207623.0,207623.0,../data/external/scrape/tweets_immigrant_34372.csv,1437.0,1437.0,480067.0,481102.0,207623.0,21.445084810256958
173730.0,173730.0,../data/external/scrape/tweets_immigrant_34373.csv,418.0,857.0,426026.0,426602.0,173728.0,18.535624742507935
221916.0,221916.0,../data/external/scrape/tweets_immigrant_34374.csv,980.0,1008.0,483048.0,484200.0,221915.0,24.096203088760376
238023.0,238023.0,../data/external/scrape/tweets_immigrant_34375.csv,972.0,972.0,474966.0,475900.0,238023.0,25.430415868759155
242561.0,242561.0,../data/external/scrape/tweets_immigrant_34376.csv,1405.0,1405.0,532603.0,533900.0,242558.0,26.202744007110596
220778.0,220778.0,../data/external/scrape/tweets_immigrant_34377.csv,1466.0,1466.0,483544.0,484800.0,220777.0,22.8180832862854
230142.0,230142.0,../data/external/scrape/tweets_immigrant_34378.csv,1771.0,1771.0,532974.0,534200.0,230142.0,23.745628595352173
237695.0,237695.0,../data/external/scrape/tweets_immigrant_34379.csv,2732.0,2732.0,513382.0,514700.0,237683.0,24.50051784515381
223241.0,223241.0,../data/external/scrape/tweets_immigrant_34380.csv,1303.0,1303.0,519624.0,520900.0,223240.0,24.012065410614014
365025.0,365025.0,../data/external/scrape/tweets_immigrant_34381.csv,1723.0,1723.0,673501.0,675500.0,365020.0,40.80432343482971
461947.0,461947.0,../data/external/scrape/tweets_immigrant_34382.csv,2149.0,2149.0,779057.0,781500.0,461942.0,51.97855877876282
613282.0,613282.0,../data/external/scrape/tweets_immigrant_34383.csv,2285.0,2285.0,999613.0,1002500.0,613281.0,69.80221843719482
420400.0,420400.0,../data/external/scrape/tweets_immigrant_34384.csv,1623.0,1623.0,706885.0,709137.0,420399.0,45.89628267288208
429365.0,429365.0,../data/external/scrape/tweets_immigrant_34385.csv,1812.0,1812.0,807361.0,809400.0,429365.0,43.77082824707031
364749.0,364749.0,../data/external/scrape/tweets_immigrant_34386.csv,3152.0,3152.0,660416.0,662800.0,364749.0,38.57522511482239
812635.0,812635.0,../data/external/scrape/tweets_immigrant_34387.csv,11769.0,11769.0,1135189.0,1139600.0,812634.0,93.4790518283844
1186437.0,1186437.0,../data/external/scrape/tweets_immigrant_34388.csv,17047.0,17047.0,1576882.0,1584400.0,1186437.0,143.8656997680664
1647936.0,1647936.0,../data/external/scrape/tweets_immigrant_34389.csv,17685.0,17685.0,1952594.0,1964300.0,1647935.0,189.59661531448364
1372355.0,1372355.0,../data/external/scrape/tweets_immigrant_34390.csv,13843.0,13843.0,1765402.0,1777368.0,1372353.0,154.6261031627655
1434075.0,1434075.0,../data/external/scrape/tweets_immigrant_34391.csv,16683.0,16683.0,1731907.0,1743547.0,1434075.0,160.43683004379272
1265126.0,1265126.0,../data/external/scrape/tweets_immigrant_34392.csv,20143.0,20143.0,1666807.0,1678633.0,1265122.0,142.4234104156494
1401207.0,1401207.0,../data/external/scrape/tweets_immigrant_34393.csv,20848.0,20848.0,1710895.0,1723000.0,1401207.0,160.98484539985657
968887.0,968887.0,../data/external/scrape/tweets_immigrant_34394.csv,11537.0,11537.0,1371951.0,1380853.0,968887.0,109.8221366405487
815524.0,815524.0,../data/external/scrape/tweets_immigrant_34395.csv,7969.0,7969.0,1126615.0,1133386.0,815523.0,89.01037812232971
621850.0,621850.0,../data/external/scrape/tweets_immigrant_34396.csv,8265.0,8265.0,993685.0,999142.0,621845.0,70.51465654373169
601228.0,601228.0,../data/external/scrape/tweets_immigrant_34397.csv,7870.0,7870.0,927462.0,932000.0,601226.0,65.69964742660522
517583.0,517583.0,../data/external/scrape/tweets_immigrant_34398.csv,6870.0,6870.0,846677.0,850141.0,517583.0,56.763569831848145
518599.0,518599.0,../data/external/scrape/tweets_immigrant_34399.csv,4201.0,4201.0,867590.0,870949.0,518599.0,55.773186922073364
489171.0,489171.0,../data/external/scrape/tweets_immigrant_34400.csv,3821.0,3821.0,805791.0,809226.0,489170.0,53.71166729927063
,,tweets_immigrant_34401.csv,,,,,,
487299.0,487299.0,../data/external/scrape/tweets_immigrant_34402.csv,3681.0,3681.0,763524.0,767700.0,487298.0,54.12249040603638
489843.0,489843.0,../data/external/scrape/tweets_immigrant_34403.csv,3412.0,3412.0,788116.0,792000.0,489843.0,53.161128520965576
428314.0,428314.0,../data/external/scrape/tweets_immigrant_34404.csv,3410.0,3410.0,755611.0,759017.0,428314.0,46.701138496398926
410867.0,410867.0,../data/external/scrape/tweets_immigrant_34405.csv,3855.0,3855.0,716098.0,719100.0,410867.0,43.990116357803345
392278.0,392278.0,../data/external/scrape/tweets_immigrant_34406.csv,2781.0,2781.0,709757.0,712900.0,392278.0,41.33433175086975
380651.0,380651.0,../data/external/scrape/tweets_immigrant_34407.csv,2551.0,2551.0,654101.0,657200.0,380651.0,41.2245979309082
354354.0,354354.0,../data/external/scrape/tweets_immigrant_34408.csv,4257.0,4257.0,595871.0,599000.0,354353.0,39.48957896232605
381226.0,381226.0,../data/external/scrape/tweets_immigrant_34409.csv,2902.0,2902.0,671570.0,674300.0,381226.0,41.20662546157837
405194.0,405194.0,../data/external/scrape/tweets_immigrant_34410.csv,2315.0,2315.0,796867.0,799800.0,405194.0,44.023653507232666
395037.0,395037.0,../data/external/scrape/tweets_immigrant_34411.csv,2297.0,2297.0,685803.0,688600.0,395037.0,40.70765519142151
402264.0,402264.0,../data/external/scrape/tweets_immigrant_34412.csv,1818.0,1818.0,669544.0,672200.0,402261.0,43.464760065078735
608436.0,608436.0,../data/external/scrape/tweets_immigrant_34413.csv,2237.0,2237.0,923506.0,927600.0,608435.0,67.26912713050842
424179.0,424179.0,../data/external/scrape/tweets_immigrant_34414.csv,2891.0,2891.0,729071.0,732100.0,424178.0,46.18624496459961
494911.0,494911.0,../data/external/scrape/tweets_immigrant_34415.csv,2641.0,2641.0,782625.0,786300.0,494907.0,54.32930397987366
424234.0,424234.0,../data/external/scrape/tweets_immigrant_34416.csv,2133.0,2133.0,714126.0,717320.0,424234.0,45.817421197891235
375508.0,375508.0,../data/external/scrape/tweets_immigrant_34417.csv,1898.0,1898.0,667252.0,669800.0,375508.0,39.23332476615906
366720.0,366720.0,../data/external/scrape/tweets_immigrant_34418.csv,2150.0,2150.0,621497.0,624400.0,366718.0,40.83799695968628
371450.0,371450.0,../data/external/scrape/tweets_immigrant_34419.csv,4564.0,4564.0,640348.0,642771.0,371450.0,41.38094973564148
352848.0,352848.0,../data/external/scrape/tweets_immigrant_34420.csv,2677.0,2677.0,647370.0,649800.0,352839.0,38.02197074890137
358042.0,358042.0,../data/external/scrape/tweets_immigrant_34421.csv,3515.0,3515.0,643646.0,646000.0,358041.0,39.60083270072937
302783.0,302783.0,../data/external/scrape/tweets_immigrant_34422.csv,1830.0,1830.0,581706.0,583600.0,302782.0,32.70291757583618
299100.0,299100.0,../data/external/scrape/tweets_immigrant_34423.csv,1102.0,1102.0,561917.0,563697.0,299098.0,31.649168252944946
338279.0,338279.0,../data/external/scrape/tweets_immigrant_34424.csv,1944.0,1944.0,628600.0,630300.0,338275.0,35.906163692474365
352018.0,352018.0,../data/external/scrape/tweets_immigrant_34425.csv,3219.0,3219.0,634234.0,636100.0,352018.0,38.023741483688354
367375.0,367375.0,../data/external/scrape/tweets_immigrant_34426.csv,2162.0,2162.0,643087.0,645400.0,367373.0,39.79030990600586
332952.0,332952.0,../data/external/scrape/tweets_immigrant_34427.csv,2595.0,2595.0,627210.0,628946.0,332949.0,34.76510691642761
338084.0,338084.0,../data/external/scrape/tweets_immigrant_34428.csv,1496.0,1496.0,628778.0,631178.0,338083.0,35.94337773323059
306837.0,306837.0,../data/external/scrape/tweets_immigrant_34429.csv,2649.0,2649.0,612108.0,614000.0,306837.0,30.265828132629395
295836.0,295836.0,../data/external/scrape/tweets_immigrant_34430.csv,3367.0,3367.0,624844.0,626600.0,295834.0,31.099496126174927
274643.0,274643.0,../data/external/scrape/tweets_immigrant_34431.csv,1756.0,1756.0,539710.0,541300.0,274643.0,28.404500246047974
381400.0,381400.0,../data/external/scrape/tweets_immigrant_34432.csv,2590.0,2590.0,714077.0,717700.0,381400.0,42.11425757408142
487504.0,487504.0,../data/external/scrape/tweets_immigrant_34433.csv,8610.0,8610.0,765544.0,769886.0,487504.0,52.951496839523315
453462.0,453462.0,../data/external/scrape/tweets_immigrant_34434.csv,5068.0,5068.0,796189.0,799822.0,453460.0,51.40717148780823
347510.0,347510.0,../data/external/scrape/tweets_immigrant_34435.csv,3133.0,3133.0,605870.0,608561.0,347509.0,37.700464725494385
389706.0,389706.0,../data/external/scrape/tweets_immigrant_34436.csv,3012.0,3012.0,733926.0,737240.0,389706.0,41.54024839401245
410999.0,410999.0,../data/external/scrape/tweets_immigrant_34437.csv,3074.0,3074.0,678717.0,681600.0,410999.0,43.57632875442505
384458.0,384458.0,../data/external/scrape/tweets_immigrant_34438.csv,2430.0,2430.0,672746.0,675600.0,384458.0,41.45975208282471
318301.0,318301.0,../data/external/scrape/tweets_immigrant_34439.csv,1725.0,1725.0,536928.0,539600.0,318300.0,34.12817978858948
366805.0,366805.0,../data/external/scrape/tweets_immigrant_34440.csv,2170.0,2170.0,706748.0,709000.0,366805.0,39.483460664749146
312987.0,312987.0,../data/external/scrape/tweets_immigrant_34441.csv,1677.0,1677.0,566309.0,568300.0,312986.0,34.79031801223755
309272.0,309272.0,../data/external/scrape/tweets_immigrant_34442.csv,1476.0,1476.0,574599.0,576400.0,309270.0,32.000221967697144
330509.0,330509.0,../data/external/scrape/tweets_immigrant_34443.csv,1585.0,1585.0,556332.0,558670.0,330509.0,34.66038513183594
369915.0,369915.0,../data/external/scrape/tweets_immigrant_34444.csv,2868.0,2868.0,677961.0,680600.0,369913.0,40.15824818611145
294403.0,294403.0,../data/external/scrape/tweets_immigrant_34445.csv,3597.0,3597.0,544742.0,546600.0,294403.0,31.259831428527832
302235.0,302235.0,../data/external/scrape/tweets_immigrant_34446.csv,2616.0,2616.0,582356.0,584400.0,302235.0,31.825925827026367
404121.0,404121.0,../data/external/scrape/tweets_immigrant_34447.csv,1873.0,1873.0,698820.0,700800.0,404119.0,41.489341259002686
329647.0,329647.0,../data/external/scrape/tweets_immigrant_34448.csv,1950.0,1950.0,575494.0,577658.0,329645.0,36.374720335006714
290479.0,290479.0,../data/external/scrape/tweets_immigrant_34449.csv,1434.0,1434.0,583659.0,585300.0,290479.0,29.847060680389404
304913.0,304913.0,../data/external/scrape/tweets_immigrant_34450.csv,1355.0,1355.0,611894.0,613700.0,304913.0,30.813219785690308
435837.0,435837.0,../data/external/scrape/tweets_immigrant_34451.csv,1260.0,1260.0,736329.0,738600.0,435836.0,48.80840754508972
328654.0,328654.0,../data/external/scrape/tweets_immigrant_34452.csv,1346.0,1346.0,593365.0,595400.0,328654.0,36.93244457244873
320728.0,320728.0,../data/external/scrape/tweets_immigrant_34453.csv,820.0,820.0,630696.0,632600.0,320728.0,35.123769998550415
291646.0,291646.0,../data/external/scrape/tweets_immigrant_34454.csv,2088.0,2088.0,519466.0,521170.0,291646.0,31.289942026138306
286053.0,286053.0,../data/external/scrape/tweets_immigrant_34455.csv,2525.0,2525.0,552000.0,553319.0,286052.0,33.00186347961426
308199.0,308199.0,../data/external/scrape/tweets_immigrant_34456.csv,3562.0,3562.0,584466.0,586400.0,308198.0,33.95819067955017
325276.0,325276.0,../data/external/scrape/tweets_immigrant_34457.csv,1578.0,1578.0,595543.0,597400.0,325276.0,35.71919107437134
240474.0,240474.0,../data/external/scrape/tweets_immigrant_34458.csv,1217.0,1217.0,462821.0,464385.0,240473.0,25.108522653579712
217664.0,217664.0,../data/external/scrape/tweets_immigrant_34459.csv,875.0,875.0,477061.0,478300.0,217664.0,23.152220249176025
252013.0,252013.0,../data/external/scrape/tweets_immigrant_34460.csv,1364.0,1364.0,585157.0,586500.0,252011.0,26.783691883087158
202284.0,202284.0,../data/external/scrape/tweets_immigrant_34461.csv,1301.0,1301.0,417286.0,418402.0,202283.0,21.761390447616577
423742.0,423742.0,../data/external/scrape/tweets_immigrant_34462.csv,3136.0,3136.0,732281.0,734900.0,423740.0,47.67091393470764
433351.0,433351.0,../data/external/scrape/tweets_immigrant_34463.csv,8285.0,8285.0,734159.0,736500.0,433348.0,47.812838554382324
341004.0,341004.0,../data/external/scrape/tweets_immigrant_34464.csv,3656.0,3656.0,631840.0,633700.0,341002.0,35.554407835006714
307796.0,307796.0,../data/external/scrape/tweets_immigrant_34465.csv,2323.0,2323.0,551047.0,552700.0,307796.0,32.54196357727051
334445.0,334445.0,../data/external/scrape/tweets_immigrant_34466.csv,1244.0,1244.0,613424.0,615400.0,334445.0,36.985615253448486
269045.0,269045.0,../data/external/scrape/tweets_immigrant_34467.csv,864.0,864.0,519737.0,521200.0,269045.0,27.7951979637146
222906.0,222906.0,../data/external/scrape/tweets_immigrant_34468.csv,633.0,1047.0,423212.0,424801.0,222906.0,24.324871301651
234571.0,234571.0,../data/external/scrape/tweets_immigrant_34469.csv,995.0,1528.0,540683.0,541900.0,234570.0,24.515035390853882
233248.0,233248.0,../data/external/scrape/tweets_immigrant_34470.csv,1469.0,1491.0,492058.0,493500.0,233248.0,25.237279415130615
226144.0,226144.0,../data/external/scrape/tweets_immigrant_34471.csv,1252.0,1254.0,479128.0,480400.0,226144.0,23.74291729927063
246034.0,246034.0,../data/external/scrape/tweets_immigrant_34472.csv,858.0,858.0,522631.0,524000.0,246033.0,25.908894777297974
222685.0,222685.0,../data/external/scrape/tweets_immigrant_34473.csv,1142.0,1142.0,464106.0,465253.0,222685.0,23.710395574569702
268645.0,268645.0,../data/external/scrape/tweets_immigrant_34474.csv,1164.0,1164.0,575133.0,576700.0,268643.0,28.518271923065186
244200.0,244200.0,../data/external/scrape/tweets_immigrant_34475.csv,1208.0,1208.0,511983.0,513300.0,244199.0,27.932156085968018
246130.0,246130.0,../data/external/scrape/tweets_immigrant_34476.csv,1682.0,1682.0,514885.0,516200.0,246129.0,26.94180917739868
252840.0,252840.0,../data/external/scrape/tweets_immigrant_34477.csv,1610.0,1610.0,538812.0,539900.0,252838.0,27.67752432823181
278327.0,278327.0,../data/external/scrape/tweets_immigrant_34478.csv,1101.0,1101.0,578043.0,579300.0,278327.0,30.028332948684692
212848.0,212848.0,../data/external/scrape/tweets_immigrant_34479.csv,852.0,852.0,449437.0,450445.0,212848.0,22.161359548568726
213152.0,213152.0,../data/external/scrape/tweets_immigrant_34480.csv,1487.0,1487.0,407333.0,408600.0,213152.0,22.420396327972412
386544.0,386544.0,../data/external/scrape/tweets_immigrant_34481.csv,1571.0,1571.0,641324.0,643055.0,386544.0,43.03534650802612
348860.0,348860.0,../data/external/scrape/tweets_immigrant_34482.csv,2056.0,2056.0,620765.0,622800.0,348859.0,38.75086283683777
292956.0,292956.0,../data/external/scrape/tweets_immigrant_34483.csv,1136.0,1136.0,593801.0,595300.0,292956.0,30.63718008995056
324141.0,324141.0,../data/external/scrape/tweets_immigrant_34484.csv,1007.0,1007.0,663870.0,665931.0,324141.0,35.62609386444092
252938.0,252938.0,../data/external/scrape/tweets_immigrant_34485.csv,1422.0,1422.0,488728.0,490300.0,252938.0,27.11541485786438
314841.0,314841.0,../data/external/scrape/tweets_immigrant_34486.csv,2347.0,2347.0,608853.0,610800.0,314840.0,34.48523950576782
262380.0,262380.0,../data/external/scrape/tweets_immigrant_34487.csv,2047.0,2047.0,539713.0,541100.0,262379.0,27.512183666229248
264498.0,264498.0,../data/external/scrape/tweets_immigrant_34488.csv,1932.0,1932.0,521398.0,523100.0,264498.0,28.819785356521606
237995.0,237995.0,../data/external/scrape/tweets_immigrant_34489.csv,1644.0,1644.0,502571.0,503900.0,237993.0,24.217809915542603
235247.0,235247.0,../data/external/scrape/tweets_immigrant_34490.csv,953.0,953.0,544438.0,546100.0,235247.0,25.66024112701416
209827.0,209827.0,../data/external/scrape/tweets_immigrant_34491.csv,1173.0,1173.0,533493.0,534986.0,209827.0,21.272505283355713
236664.0,236664.0,../data/external/scrape/tweets_immigrant_34492.csv,1250.0,1250.0,497998.0,499337.0,236664.0,25.579554796218872
241347.0,241347.0,../data/external/scrape/tweets_immigrant_34493.csv,1216.0,1216.0,512972.0,514500.0,241346.0,25.988593339920044
385811.0,385811.0,../data/external/scrape/tweets_immigrant_34494.csv,4937.0,4937.0,661226.0,663459.0,385810.0,44.024866342544556
396564.0,396564.0,../data/external/scrape/tweets_immigrant_34495.csv,2954.0,2954.0,797924.0,799600.0,396564.0,43.11472964286804
393920.0,393920.0,../data/external/scrape/tweets_immigrant_34496.csv,2563.0,2563.0,679741.0,681873.0,393916.0,44.410499811172485
318460.0,318460.0,../data/external/scrape/tweets_immigrant_34497.csv,3347.0,3347.0,641847.0,643300.0,318457.0,34.62940764427185
295796.0,295796.0,../data/external/scrape/tweets_immigrant_34498.csv,3223.0,3223.0,559223.0,560989.0,295796.0,33.228174448013306
244002.0,244002.0,../data/external/scrape/tweets_immigrant_34499.csv,2269.0,2269.0,478066.0,479300.0,244002.0,27.13195776939392
251187.0,251187.0,../data/external/scrape/tweets_immigrant_34500.csv,1355.0,1355.0,521990.0,523300.0,251185.0,26.818691730499268
209208.0,209208.0,../data/external/scrape/tweets_immigrant_34501.csv,1143.0,1143.0,446904.0,447834.0,209208.0,22.784443140029907
251544.0,251544.0,../data/external/scrape/tweets_immigrant_34502.csv,1374.0,1374.0,502823.0,504306.0,251541.0,27.872310400009155
207267.0,207267.0,../data/external/scrape/tweets_immigrant_34503.csv,999.0,999.0,439741.0,440911.0,207267.0,22.602651596069336
312083.0,312083.0,../data/external/scrape/tweets_immigrant_34504.csv,1294.0,1294.0,571277.0,573200.0,312082.0,33.2550048828125
284588.0,284588.0,../data/external/scrape/tweets_immigrant_34505.csv,1068.0,1068.0,554558.0,556151.0,284588.0,31.013691425323486
239514.0,239514.0,../data/external/scrape/tweets_immigrant_34506.csv,1406.0,1406.0,393826.0,395473.0,239513.0,25.85922384262085
243100.0,243100.0,../data/external/scrape/tweets_immigrant_34507.csv,1262.0,1262.0,518502.0,519745.0,243100.0,25.614073038101196
262152.0,262152.0,../data/external/scrape/tweets_immigrant_34508.csv,866.0,866.0,557536.0,559100.0,262152.0,28.93061065673828
240931.0,240931.0,../data/external/scrape/tweets_immigrant_34509.csv,743.0,743.0,537872.0,539108.0,240931.0,25.54537796974182
283509.0,283509.0,../data/external/scrape/tweets_immigrant_34510.csv,1111.0,1111.0,589955.0,591633.0,283508.0,30.32057547569275
240011.0,240011.0,../data/external/scrape/tweets_immigrant_34511.csv,1126.0,1126.0,533052.0,534156.0,240011.0,25.889957666397095
240934.0,240934.0,../data/external/scrape/tweets_immigrant_34512.csv,1210.0,1210.0,458388.0,459962.0,240933.0,24.792720079421997
219736.0,219736.0,../data/external/scrape/tweets_immigrant_34513.csv,1685.0,1685.0,486887.0,488130.0,219735.0,24.58723545074463
195134.0,195134.0,../data/external/scrape/tweets_immigrant_34514.csv,1453.0,1453.0,400735.0,401800.0,195134.0,21.45026159286499
